DATETIME,DATE,PERIOD,PRICE_SP,PRICE_PT
2025-10-01 00:00:00,2025-10-01,1,105.1,105.1
2025-10-01 00:15:00,2025-10-01,2,104.24,104.24
2025-10-01 00:30:00,2025-10-01,3,102.28,102.28
2025-10-01 00:45:00,2025-10-01,4,102.0,102.0
2025-10-01 01:00:00,2025-10-01,5,106.63,106.63
2025-10-01 01:15:00,2025-10-01,6,105.68,105.68
2025-10-01 01:30:00,2025-10-01,7,105.19,105.19
2025-10-01 01:45:00,2025-10-01,8,105.01,105.01
2025-10-01 02:00:00,2025-10-01,9,104.21,104.21
2025-10-01 02:15:00,2025-10-01,10,102.0,102.0
2025-10-01 02:30:00,2025-10-01,11,100.0,100.0
2025-10-01 02:45:00,2025-10-01,12,100.0,100.0
2025-10-01 03:00:00,2025-10-01,13,97.57,97.57
2025-10-01 03:15:00,2025-10-01,14,97.51,97.51
2025-10-01 03:30:00,2025-10-01,15,97.51,97.51
2025-10-01 03:45:00,2025-10-01,16,97.91,97.91
2025-10-01 04:00:00,2025-10-01,17,98.5,98.5
2025-10-01 04:15:00,2025-10-01,18,100.0,100.0
2025-10-01 04:30:00,2025-10-01,19,102.28,102.28
2025-10-01 04:45:00,2025-10-01,20,105.0,105.0
2025-10-01 05:00:00,2025-10-01,21,101.08,101.08
2025-10-01 05:15:00,2025-10-01,22,101.28,101.28
2025-10-01 05:30:00,2025-10-01,23,101.76,101.76
2025-10-01 05:45:00,2025-10-01,24,102.24,102.24
2025-10-01 06:00:00,2025-10-01,25,101.76,101.76
2025-10-01 06:15:00,2025-10-01,26,102.24,102.24
2025-10-01 06:30:00,2025-10-01,27,104.24,104.24
2025-10-01 06:45:00,2025-10-01,28,105.68,105.68
2025-10-01 07:00:00,2025-10-01,29,106.55,106.55
2025-10-01 07:15:00,2025-10-01,30,110.41,110.41
2025-10-01 07:30:00,2025-10-01,31,114.15,114.15
2025-10-01 07:45:00,2025-10-01,32,122.58,122.58
2025-10-01 08:00:00,2025-10-01,33,140.78,140.78
2025-10-01 08:15:00,2025-10-01,34,130.56,130.56
2025-10-01 08:30:00,2025-10-01,35,115.17,115.17
2025-10-01 08:45:00,2025-10-01,36,106.63,106.63
2025-10-01 09:00:00,2025-10-01,37,125.5,125.5
2025-10-01 09:15:00,2025-10-01,38,105.01,105.01
2025-10-01 09:30:00,2025-10-01,39,92.24,92.24
2025-10-01 09:45:00,2025-10-01,40,60.0,60.87
